Date,Day,Placement Task,UPSC Task,Defence Task,Fitness Task,College Task
2025-06-29,Sunday,Revise 1 ML project notebook,Make current affairs notes from The Hindu,Revise 1 Defence GK topic,Drink 3L water,Attend classes & take notes
2025-06-30,Monday,Solve 2 Leetcode problems,Read 1 GS topic (Polity/History/Geography),Revise 1 Defence GK topic,Eat home-cooked meals only,Prepare slides for project
2025-07-01,Tuesday,Solve 2 Leetcode problems,Practice 5 CSAT questions,Solve 10 Pathfinder MCQs,Drink 3L water,Attend classes & take notes
2025-07-02,Wednesday,Solve 2 Leetcode problems,Read 1 GS topic (Polity/History/Geography),Take a mini mock test (20 questions),30 min morning walk or HIIT,Prepare slides for project
2025-07-03,Thursday,Solve 2 Leetcode problems,Read 1 GS topic (Polity/History/Geography),Revise 1 Defence GK topic,Drink 3L water,Prepare slides for project
2025-07-04,Friday,Solve 2 Leetcode problems,Revise 1 NCERT chapter,Revise 1 Defence GK topic,Eat home-cooked meals only,Revise one subject for internal quiz
2025-07-05,Saturday,Solve 2 Leetcode problems,Practice 5 CSAT questions,Revise 1 Defence GK topic,Eat home-cooked meals only,Prepare slides for project
2025-07-06,Sunday,Revise 1 ML project notebook,Practice 5 CSAT questions,Read CDS/AFCAT English comprehension passage,Track calories for the day,Attend classes & take notes
2025-07-07,Monday,Update resume bullet point,Make current affairs notes from The Hindu,Solve 10 Pathfinder MCQs,Eat home-cooked meals only,Prepare slides for project
2025-07-08,Tuesday,Update resume bullet point,Practice 5 CSAT questions,Solve 10 Pathfinder MCQs,Drink 3L water,Complete assignment or lab task
2025-07-09,Wednesday,Revise 1 ML project notebook,Revise 1 NCERT chapter,Revise 1 Defence GK topic,30 min morning walk or HIIT,Attend classes & take notes
2025-07-10,Thursday,Practice 1 mock interview question,Revise 1 NCERT chapter,Solve 10 Pathfinder MCQs,Track calories for the day,Prepare slides for project
2025-07-11,Friday,Practice 1 mock interview question,Practice 5 CSAT questions,Take a mini mock test (20 questions),Eat home-cooked meals only,Attend classes & take notes
2025-07-12,Saturday,Revise 1 ML project notebook,Make current affairs notes from The Hindu,Read CDS/AFCAT English comprehension passage,Drink 3L water,Prepare slides for project
2025-07-13,Sunday,Update resume bullet point,Make current affairs notes from The Hindu,Revise 1 Defence GK topic,Track calories for the day,Complete assignment or lab task
2025-07-14,Monday,Solve 2 Leetcode problems,Practice 5 CSAT questions,Read CDS/AFCAT English comprehension passage,Eat home-cooked meals only,Revise one subject for internal quiz
2025-07-15,Tuesday,Solve 2 Leetcode problems,Practice 5 CSAT questions,Take a mini mock test (20 questions),30 min morning walk or HIIT,Attend classes & take notes
2025-07-16,Wednesday,Practice 1 mock interview question,Read 1 GS topic (Polity/History/Geography),Read CDS/AFCAT English comprehension passage,Eat home-cooked meals only,Revise one subject for internal quiz
2025-07-17,Thursday,Update resume bullet point,Make current affairs notes from The Hindu,Read CDS/AFCAT English comprehension passage,Eat home-cooked meals only,Prepare slides for project
2025-07-18,Friday,Update resume bullet point,Read 1 GS topic (Polity/History/Geography),Solve 10 Pathfinder MCQs,Eat home-cooked meals only,Prepare slides for project
2025-07-19,Saturday,Solve 2 Leetcode problems,Revise 1 NCERT chapter,Read CDS/AFCAT English comprehension passage,Eat home-cooked meals only,Prepare slides for project
2025-07-20,Sunday,Practice 1 mock interview question,Practice 5 CSAT questions,Solve 10 Pathfinder MCQs,30 min morning walk or HIIT,Complete assignment or lab task
2025-07-21,Monday,Solve 2 Leetcode problems,Read 1 GS topic (Polity/History/Geography),Solve 10 Pathfinder MCQs,Track calories for the day,Complete assignment or lab task
2025-07-22,Tuesday,Update resume bullet point,Make current affairs notes from The Hindu,Solve 10 Pathfinder MCQs,Track calories for the day,Revise one subject for internal quiz
2025-07-23,Wednesday,Practice 1 mock interview question,Read 1 GS topic (Polity/History/Geography),Take a mini mock test (20 questions),30 min morning walk or HIIT,Revise one subject for internal quiz
2025-07-24,Thursday,Revise 1 ML project notebook,Make current affairs notes from The Hindu,Read CDS/AFCAT English comprehension passage,30 min morning walk or HIIT,Prepare slides for project
2025-07-25,Friday,Revise 1 ML project notebook,Practice 5 CSAT questions,Read CDS/AFCAT English comprehension passage,30 min morning walk or HIIT,Prepare slides for project
2025-07-26,Saturday,Solve 2 Leetcode problems,Make current affairs notes from The Hindu,Solve 10 Pathfinder MCQs,30 min morning walk or HIIT,Attend classes & take notes
2025-07-27,Sunday,Revise 1 ML project notebook,Revise 1 NCERT chapter,Read CDS/AFCAT English comprehension passage,30 min morning walk or HIIT,Complete assignment or lab task
2025-07-28,Monday,Solve 2 Leetcode problems,Make current affairs notes from The Hindu,Read CDS/AFCAT English comprehension passage,Eat home-cooked meals only,Prepare slides for project
2025-07-29,Tuesday,Solve 2 Leetcode problems,Read 1 GS topic (Polity/History/Geography),Revise 1 Defence GK topic,Drink 3L water,Attend classes & take notes
2025-07-30,Wednesday,Revise 1 ML project notebook,Practice 5 CSAT questions,Revise 1 Defence GK topic,30 min morning walk or HIIT,Complete assignment or lab task
2025-07-31,Thursday,Update resume bullet point,Practice 5 CSAT questions,Solve 10 Pathfinder MCQs,Drink 3L water,Attend classes & take notes
2025-08-01,Friday,Practice 1 mock interview question,Make current affairs notes from The Hindu,Read CDS/AFCAT English comprehension passage,Track calories for the day,Revise one subject for internal quiz
2025-08-02,Saturday,Practice 1 mock interview question,Read 1 GS topic (Polity/History/Geography),Read CDS/AFCAT English comprehension passage,30 min morning walk or HIIT,Revise one subject for internal quiz
2025-08-03,Sunday,Update resume bullet point,Make current affairs notes from The Hindu,Read CDS/AFCAT English comprehension passage,Eat home-cooked meals only,Revise one subject for internal quiz
